Physical Exhaustion,Feeling physically drained despite not being ill.,I feel completely worn out even though I'm not sick.,"Experiencing extreme physical fatigue without any underlying illness, affecting daily activities.","Feeling: tired, weak, overwhelmed","Leading to: decreased productivity, increased absenteeism, higher error rates","Creates perception of being: unreliable, lazy, disengaged",Physical,"Decreased stamina, Increased fatigue, Low energy","Regular breaks, Ergonomic adjustments, Reduced workload","autism ASD, Physical Symptoms","Prioritize sleep, Stay hydrated, Schedule breaks, Practice mindfulness, Light exercise, Manage workload, Healthy diet, Limit caffeine, Avoid overstimulation, Regular health check-ups","Flexible work hours, Encourage breaks, Ergonomic workstation, Wellness programs, Access to quiet rooms, Supportive culture, Regular feedback, Adjust workload, Offer counseling, Energy management training"
Depleted Resources,Feeling as if all internal resources are exhausted.,I feel like I've got nothing left to give.,"Feeling as though all mental, emotional, and physical resources have been fully expended.","Feeling: drained, defeated, anxious","Leading to: burnout, lower morale, decreased innovation","Creates perception of being: unmotivated, passive, uninterested",Mental & emotional,"Burnout, Emotional fatigue, Overwhelmed","Mental health support, Resource management training, Stress reduction","autism ASD, Physical Symptoms","Break tasks into steps, Set realistic goals, Regular rest, Practice deep breathing, Seek support, Positive self-talk, Use a planner, Identify priorities, Delegate tasks, Avoid multitasking","Adjust deadlines, Provide clear guidelines, Offer mental health support, Flexible schedules, Encourage team collaboration, Provide task lists, Offer mentorship, Create a supportive environment, Reduce sensory input, Encourage self-care"
General Depletion,Feeling generally depleted in energy and motivation.,I just feel generally depleted.,Experiencing a pervasive sense of low energy and motivation impacting all areas of life.,"Feeling: fatigued, discouraged, low","Leading to: diminished work quality, poor engagement, frequent breaks","Creates perception of being: uncommitted, sluggish, inattentive",Mental & emotional,"Low motivation, Chronic fatigue, Low morale","Wellness programs, Flexible scheduling, Mental health days","autism ASD, Physical Symptoms","Engage in hobbies, Socialize, Regular exercise, Mindfulness meditation, Nutritious diet, Time management, Limit screen time, Regular relaxation, Listen to music, Maintain routine","Access to wellness programs, Promote work-life balance, Regular check-ins, Provide mental health resources, Flexible break times, Create quiet spaces, Foster inclusivity, Offer recreational activities, Provide EAP services, Promote healthy habits"
Need for More Sleep,Requiring more sleep than usual to function.,I need to sleep a lot more than usual.,Finding that additional sleep is necessary to maintain daily functionality and alertness.,"Feeling: drowsy, lethargic, fatigued","Leading to: tardiness, reduced work hours, missed deadlines","Creates perception of being: undisciplined, inconsistent, unreliable",Physical,"Excessive tiredness, Sleep disturbances, Poor restfulness","Sleep hygiene education, Adjusted work hours, Napping provisions","autism ASD, Physical Symptoms","Set a sleep schedule, Limit blue light exposure, Avoid heavy meals before bed, Create a bedtime routine, Avoid stimulants, Relaxation techniques, Limit naps, Comfortable sleep environment, Wind down activities, Consistent wake-up time","Adjust start times, Offer remote work, Provide rest areas, Allow nap breaks, Encourage PTO usage, Promote sleep hygiene, Offer wellness programs, Promote healthy lifestyles, Educate about sleep hygiene, Allow flexible hours"
Hard to Get Up,Difficulty getting out of bed in the morning.,I struggle to get out of bed each morning.,"Experiencing significant challenges in waking up and starting the day, impacting punctuality.","Feeling: sluggish, unmotivated, groggy","Leading to: absenteeism, reduced productivity, late starts","Creates perception of being: unmotivated, tardy, unreliable","Physical, Mental & emotional","Morning fatigue, Low morning energy, Poor wakefulness","Alarm management, Morning routine development, Flexible start times","autism ASD, Physical Symptoms","Morning exercise, Avoid late-night activities, Gradual wake-up routine, Morning sunlight exposure, Use an alarm clock, Morning meditation, Healthy breakfast, Hydrate upon waking, Positive morning ritual, Avoid screen time at night","Flexible start times, Encourage gradual start, Provide light therapy, Promote wellness programs, Access to natural light, Offer flexible schedules, Promote positive culture, Provide ergonomic support, Offer gradual start times, Allow for remote work"
Mental Exhaustion,Feeling mentally exhausted and unable to focus.,My mind feels completely drained.,"Struggling with mental fatigue, making it hard to concentrate and perform cognitive tasks.","Feeling: overwhelmed, stressed, inattentive","Leading to: errors, decreased problem-solving abilities, lack of focus","Creates perception of being: distracted, inattentive, careless",Mental & emotional,"Cognitive fatigue, Reduced concentration, Mental burnout","Cognitive breaks, Mindfulness training, Task prioritisation","autism ASD, Cognitive Symptoms","Take regular breaks, Prioritize tasks, Practice mindfulness, Limit multitasking, Use a planner, Maintain work-life balance, Engage in hobbies, Relaxation techniques, Healthy diet, Stay hydrated","Flexible work hours, Encourage regular breaks, Provide quiet workspaces, Offer mental health support, Implement wellness programs, Promote work-life balance, Allow for flexible deadlines, Provide task variety, Encourage PTO usage, Offer EAP services"
Slowed Thinking,Experiencing slowed thinking and mental processing.,My thoughts feel slow and sluggish.,"Finding that mental processes are significantly slower, affecting decision-making and responses.","Feeling: confused, slow, frustrated","Leading to: slower task completion, errors, impaired decision-making","Creates perception of being: slow, confused, inattentive",Mental & emotional,"Slow cognition, Delayed responses, Poor processing speed","Cognitive exercises, Structured workflows, Additional time allowances","autism ASD, Cognitive Symptoms","Break tasks into steps, Set realistic goals, Practice deep breathing, Take short walks, Limit distractions, Use cognitive aids, Follow a routine, Simplify tasks, Delegate when possible, Seek support","Adjust workload, Provide clear instructions, Allow for flexible deadlines, Implement regular breaks, Offer task management training, Allow for extended deadlines, Reduce sensory overload, Provide focus rooms, Encourage collaboration, "
Hard to Think,Difficulty in thinking clearly and processing information.,I find it really hard to think clearly.,"Struggling to maintain clarity in thought and process information efficiently, impacting work.","Feeling: muddled, foggy, unclear","Leading to: mistakes, lower productivity, impaired judgement","Creates perception of being: disorganised, inattentive, unfocused",Mental & emotional,"Cognitive cloudiness, Poor clarity, Processing difficulties","Mental clarity exercises, Simplified tasks, Clear communication","autism ASD, Cognitive Symptoms","Write things down, Create to-do lists, Use visual aids, Break tasks into steps, Prioritize tasks, Regular exercise, Engage in brain games, Limit screen time, Stay organized, Seek help if needed","Flexible schedules, Provide detailed instructions, Offer task reminders, Allow flexible work hours, Implement task segmentation, Offer visual aids, Provide organizational tools, Encourage team work, Adjust performance expectations, "
Problem-Solving Decline,Decreased ability to solve problems effectively.,I'm having trouble solving problems like I used to.,Noticing a significant reduction in the ability to solve problems and think critically.,"Feeling: inadequate, anxious, ineffective","Leading to: subpar solutions, decreased innovation, task delays","Creates perception of being: incompetent, unresourceful, ineffective",Mental & emotional,"Critical thinking decline, Poor problem-solving, Reduced creativity","Problem-solving workshops, Brainstorming sessions, Support systems","autism ASD, Cognitive Symptoms","Practice problem-solving, Take breaks when needed, Use problem-solving frameworks, Seek feedback, Limit distractions, Practice creative thinking, Break problems into parts, Use visual aids, Prioritize issues, Seek support","Provide problem-solving training, Offer mentoring programs, Encourage collaborative solutions, Provide quiet spaces, Allow for flexible deadlines, Implement regular breaks, Offer task management tools, Promote teamwork, Provide clear problem frameworks, "
Word-Finding Difficulty,Difficulty finding the right words when speaking.,I struggle to find the right words when I talk.,Facing challenges in recalling and using appropriate words during communication.,"Feeling: embarrassed, frustrated, self-conscious","Leading to: miscommunication, reduced clarity, misunderstanding","Creates perception of being: inarticulate, hesitant, unclear",Social & communication,"Speech difficulties, Verbal recall issues, Communication barriers","Speech therapy, Vocabulary exercises, Enhanced communication tools","autism ASD, Cognitive Symptoms","Use visual aids, Practice communication skills, Engage in language exercises, Take your time, Limit distractions, Use a planner, Simplify language use, Practice mindfulness, Use note-taking apps, Seek help if needed","Provide communication training, Offer speech and language therapy, Encourage use of visual aids, Allow for written communication, Provide quiet workspaces, Offer extended deadlines, Implement clear communication guidelines, Promote inclusivity, Provide assistive technology, "
Memory Problems,Experiencing issues with memory and recall.,I keep forgetting important things.,"Struggling with remembering information, affecting task completion and consistency.","Feeling: frustrated, insecure, anxious","Leading to: mistakes, missed deadlines, inconsistent performance","Creates perception of being: unreliable, forgetful, inattentive",Mental & emotional,"Memory lapses, Forgetfulness, Cognitive decline","Memory aids, Note-taking strategies, Organisational tools","autism ASD, Cognitive Symptoms","Use memory aids, Write down important info, Regularly review information, Practice mindfulness, Engage in brain games, Maintain a routine, Use a planner, Set reminders, Take regular breaks, Get adequate sleep","Provide organizational tools, Offer memory aids, Provide detailed instructions, Implement task reminders, Encourage regular reviews, Provide visual aids, Allow for task repetition, Implement memory training, Encourage note-taking, "
Slow Language Processing,Needing extra time to understand spoken language.,I need more time to process what people are saying.,"Requiring longer periods to comprehend spoken words, impacting communication and interaction.","Feeling: overwhelmed, stressed, pressured","Leading to: miscommunications, delays in responses, decreased efficiency","Creates perception of being: slow, inattentive, unresponsive","Sensory & focus, Social & communication","Auditory processing difficulties, Slow comprehension, Communication barriers","Active listening strategies, Simplified language, Patience in conversations","autism ASD, Cognitive Symptoms","Ask for clarification, Use visual aids, Take notes, Repeat information, Limit distractions, Practice active listening, Break down information, Use written communication, Take your time, Seek support if needed","Allow extended response times, Provide written instructions, Encourage use of visual aids, Implement regular breaks, Provide communication training, Offer extended deadlines, Implement task repetition, Offer assistive technology, Provide quiet workspaces, "
Skill Deterioration,Experiencing a decline in work-related skills.,I'm not as skilled as I used to be.,Noticing a reduction in the effectiveness and proficiency of job-specific skills.,"Feeling: inadequate, worried, discouraged","Leading to: decreased quality of work, training needs, lower efficiency","Creates perception of being: incompetent, underqualified, unskilled",Mental & emotional,"Skill degradation, Competency issues, Performance decline","Skill retraining, Continuous learning, Performance support programs","autism ASD, Cognitive Symptoms","Regular skill practice, Seek feedback, Engage in training, Use skill-building tools, Break tasks into steps, Maintain a routine, Take refresher courses, Set realistic goals, Seek mentorship, Document processes","Provide training programs, Offer refresher courses, Implement mentoring programs, Encourage skill-sharing, Provide task segmentation, Allow for flexible deadlines, Promote continuous learning, Provide access to resources, Adjust performance expectations, "
Routine Change Difficulty,Struggling with changes in daily routines.,It's hard for me to adapt when routines change.,Finding it challenging to adjust to alterations in usual schedules or procedures.,"Feeling: unsettled, stressed, resistant","Leading to: decreased flexibility, lower adaptability, resistance to change","Creates perception of being: inflexible, stubborn, rigid",Mental & emotional,"Routine dependency, Adaptation struggles, Change resistance","Routine stability, Gradual changes, Advance notice of changes","autism ASD, Executive Functioning Symptoms","Maintain a planner, Set reminders, Prepare in advance, Use visual schedules, Break tasks into steps, Communicate changes early, Stay flexible, Practice relaxation, Positive self-talk, Seek support","Provide advance notice, Offer flexible schedules, Provide visual aids, Implement transition periods, Allow flexible deadlines, Offer routine-based tasks, Implement change management training, Provide clear guidelines, Provide stress management resources, Promote supportive culture"
