MK,MTH RfA email 20240130,S0001,Adjustment Options: Offer a menu of reasonable adjustment options for candidates to choose from when applying for a job.,Choice Menu,Pick from diverse job application accommodations.,"This empowers me to select supports that best address my unique needs, enhancing my application experience.","WHAT: A diverse range of adjustments tailored to individual needs during the job application process. Whether it's flexible interview arrangements or alternative application methods, it's all about providing choices. WHY: It's crucial for creating an inclusive recruitment environment. Everyone's needs are different; some might require specific aids due to physical conditions, while others might benefit from adjustments for mental health reasons. Lack of such options can deter talented candidates. HOW: Candidates can choose their preferred adjustments at the application stage, ensuring they can showcase their abilities in the best possible light.","Working Arrangements, Communication","adjustment options, inclusive recruitment, flexible interview, alternative application methods, physical conditions, mental health, talents, showcasing abilities",gpt4
MK,MTH RfA email 20240130,S0002,Advocate for Inclusivity: Promote awareness and inclusivity in the workplace and advocate for self and others.  Neurodiverse Job Seekers Accommodation,Inclusivity Champion,"Promote workplace awareness and support for all, including neurodiverse individuals.","Makes me feel seen and supported, fostering a sense of belonging and encouraging advocacy for diverse needs.","WHAT: Advocacy and promotion of an inclusive work culture that recognizes and supports neurodiversity. WHY: Essential for building a supportive environment that values differences and encourages self-advocacy. Without this, neurodiverse individuals may feel marginalized. HOW: Through workshops, training sessions, and policy development, we ensure everyone understands the importance of inclusivity, making the workplace better for everyone.","Wellbeing, Communication","inclusivity, awareness, neurodiversity, support, belonging, self-advocacy, workshops, training",gpt4
MK,MTH RfA email 20240130,S0003,Alternate Channels: Provide alternative communication channels for follow-up or additional information.Interview Accommodation,Varied Comms Options,"Use different ways to communicate, ensuring clarity and comfort in follow-ups.","Enables me to engage with the process in a way that suits me best, reducing anxiety and misunderstanding.","WHAT: Offering multiple communication options like email, phone, or instant messaging for job-related follow-ups. WHY: To accommodate different communication preferences, making sure everyone can participate comfortably and effectively. HOW: Applicants can specify their preferred communication method, ensuring they receive information in the most accessible way for them.","Communication, Equipment, Services, and Support","alternative communication, email, phone, instant messaging, accessibility, comfort, effective participation",gpt4
MK,MTH RfA email 20240130,S0004,"Alternative Application Methods: Offer different ways to apply for a job, including email, mail, CV submission, or an initial online call with a recruitment council member.",Easy Apply,Multiple job application methods tailored to individual preferences.,"It lets me choose the method that best fits my situation, making the application process less daunting.","WHAT: Providing varied application methods to cater to everyone's needs and preferences. WHY: It acknowledges that one size does not fit all in job applications, reducing barriers for people with different abilities or circumstances. HOW: Applicants can submit their applications through their preferred medium, ensuring the process is as accessible and inclusive as possible.","Working Arrangements, Communication","application methods, email, mail, CV submission, online call, accessibility, inclusiveness",gpt4
MK,MTH RfA email 20240130,S0005,"Alternative Presentation Formats: Offer candidates the option to present skills, qualifications, or experiences in alternative formats, such as a visual portfolio or video presentation.",Showcase Flexibly,Present skills and experiences through unique formats like videos or portfolios.,It allows me to demonstrate my qualifications in a way that truly reflects my strengths and personality.,"WHAT: Enabling candidates to showcase their skills in formats that best represent their capabilities. WHY: Recognizes diverse talents and communication styles, ensuring candidates can fully express their competencies. HOW: Applicants are encouraged to use formats they are comfortable with, whether that's a traditional resume, a video, or a portfolio, making the application process more personalized.","Working Arrangements, Communication","presentation formats, visual portfolio, video presentation, diverse talents, personalized application",gpt4
MK,MTH RfA email 20240130,S0006,"Build Resilience: Cultivate resilience to navigate challenges, recognizing setbacks as part of the journey.  Neurodiverse Job Seekers Accommodation",Resilience Cultivation,Encourage resilience and understanding that setbacks are growth opportunities.,"Helps me view challenges as steps to growth, not obstacles, enhancing my job-seeking journey.","WHAT: Encouraging a mindset of resilience and positive outlook towards challenges faced during job seeking. WHY: Critical for neurodiverse individuals who might face unique challenges, ensuring they remain motivated and see value in every experience. HOW: Through supportive practices and resources, job seekers are equipped to handle setbacks positively, fostering a resilient attitude that benefits their career growth.","Wellbeing, Working Arrangements","resilience, neurodiverse, challenges, growth opportunities, supportive practices, positive outlook",gpt4
MK,MTH RfA email 20240130,S0007,"Candidate Information Pack: Provide a comprehensive candidate information pack with details about the interview location, what to expect, and a visual map of the venue.",Interview Prep Kit,"Comprehensive pack with venue details, expectations, and venue map.",This preparation tool makes me feel more confident and less anxious about the interview process.,"WHAT: A detailed package providing all necessary information for candidates to prepare for their interview. WHY: Reduces stress and anxiety by familiarizing candidates with the interview process and venue, making them feel more comfortable and prepared. HOW: The pack includes location details, what to expect, and a map, ensuring candidates can navigate the process smoothly.","Working Arrangements, Communication","information pack, interview preparation, stress reduction, venue details, familiarization",gpt4
MK,MTH RfA email 20240130,S0008,"Clear Instructions: Ensure that the job application website has clear and explicit instructions, as autistic individuals may struggle with implicit or vague instructions, leading to anxiety and hindering accurate form completion.",Direct Guidance,Provide straightforward and specific instructions for all application steps.,"Clear directions reduce my anxiety, helping me complete forms accurately and confidently.","WHAT: Straightforward, explicit guidance on the job application process. WHY: It's vital for supporting individuals who may be overwhelmed by ambiguity, particularly benefiting those with autism. HOW: By offering clear, step-by-step instructions, we make the application process more accessible and less stressful, encouraging accurate and confident applications.","Communication, Equipment, Services, and Support","clear instructions, autism support, stress reduction, explicit guidance, application process",gpt4
MK,MTH RfA email 20240130,S0009,"Clear Instructions: Provide clear, concise written instructions before the interview to allow preparation time.Interview Accommodation",Prep Guidance,"Offers concise, easy-to-understand pre-interview instructions.","Ensures I can prepare thoroughly, easing my nerves and boosting my confidence for the interview.","WHAT: Offering precise and straightforward instructions well before the interview time. WHY: To reduce anxiety and provide all candidates, especially those who benefit from extra preparation time, a level playing field. HOW: Detailed preparation guides are sent out early, allowing candidates ample time to get ready and feel more in control.","Working Arrangements, Communication","preparation, instructions, anxiety reduction, interview confidence, detailed guides",gpt4
MK,MTH RfA email 20240130,S0010,Co-review Job Descriptions: Co-review current Job Description and Job Specifications with autistics to ensure the use of plain language and a logical format.,Clarity First,Collaboratively refine job descriptions for clarity and accessibility.,"It makes job expectations understandable, ensuring I can apply knowing exactly what's asked of me.","WHAT: Working together with individuals on the autism spectrum to make job postings clear and straightforward. WHY: Ensures that all potential applicants can grasp the requirements and expectations, removing barriers to apply. HOW: By involving neurodiverse individuals in the drafting process, job descriptions become more inclusive, promoting wider and more effective participation.","Communication, Working Arrangements","co-review, autism, clarity, job descriptions, inclusivity, effective participation",gpt4
