PR101,Seek support,Seeking Support,Asking for help when needed,"When I seek support, I feel more capable and less stressed.",Encouraging individuals to ask for assistance when they encounter difficulties or feel overwhelmed.,Helps me get necessary help to complete tasks efficiently; could help our organisation by promoting teamwork.,"Feeling: supported, confident, secure","Leading to: improved collaboration, enhanced engagement, better retention",Support,"peer reviews, support networks, mentorship programs","anxiety, high stress levels, isolation, support networks"
PR102,Break tasks into steps,Task Breakdown,Dividing tasks into smaller steps,Breaking tasks into steps makes big projects feel manageable.,"Teaching individuals to break down larger tasks into smaller, more manageable steps to improve productivity.",Helps me manage tasks without feeling overwhelmed; might help our organisation by enhancing task completion rates.,"Feeling: empowered, productive, motivated","Leading to: increased productivity, improved performance, better work quality",Productivity,"task management, time management, project management","attention issues, deadline pressures, decreased productivity, stress management"
PR103,Use visual aids,Visual Aids,Utilizing visual tools,Visual aids help me understand and retain information better.,"Encouraging the use of charts, diagrams, and other visual tools to enhance comprehension and memory.",Helps me grasp complex information quickly; could help our organisation by improving knowledge retention.,"Feeling: engaged, included, confident","Leading to: better knowledge retention, improved training retention, enhanced engagement",Communication,"visual planning, organisational tools, clear communication","comprehension difficulties, memory challenges, cognitive challenges, learning difficulties"
PR104,Practice mindfulness,Mindfulness Practice,Engaging in mindfulness activities,Mindfulness practice helps me stay focused and calm.,Promoting mindfulness techniques such as meditation or deep breathing exercises to reduce stress and improve focus.,Helps me stay focused and reduce anxiety; might help our organisation by enhancing mental health and productivity.,"Feeling: calm, focused, balanced","Leading to: improved mental health, better employee health, increased morale",Wellness,"stress management, mental health support, emotional support","anxiety, high stress levels, burnout, emotional distress"
PR105,Limit distractions,Distraction Limitation,Minimizing interruptions,Limiting distractions keeps me on track and productive.,Implementing strategies to minimize distractions in the workplace to improve concentration and efficiency.,Helps me stay focused and complete tasks efficiently; could help our organisation by boosting overall productivity.,"Feeling: focused, productive, satisfied","Leading to: increased productivity, improved work quality, better goal alignment",Productivity,"noise management, cognitive support, workflow automation","attention issues, high stress levels, distraction, time management problems"
PR106,Take regular breaks,Regular Breaks,Taking short breaks periodically,Regular breaks keep me refreshed and prevent burnout.,"Encouraging individuals to take regular, short breaks to maintain energy and reduce fatigue.",Helps me stay energized and focused; might help our organisation by reducing burnout and increasing productivity.,"Feeling: energized, balanced, motivated","Leading to: reduced burnout, increased productivity, better employee health",Wellness,"stress management, time management, task management","fatigue, high stress levels, burnout, prolonged screen time"
PR107,Set realistic goals,Realistic Goals,Setting achievable objectives,Setting realistic goals keeps me on track and motivated.,"Teaching individuals to set practical, attainable goals to improve focus and motivation.",Helps me stay focused and motivated; could help our organisation by enhancing goal alignment and task completion.,"Feeling: motivated, confident, satisfied","Leading to: better goal alignment, increased productivity, improved performance",Productivity,"goal setting, time management, project management","attention issues, decreased productivity, stress management, task management"
PR108,Engage in hobbies,Hobbies Engagement,Participating in leisure activities,Engaging in hobbies helps me relax and recharge.,Encouraging participation in hobbies outside of work to promote relaxation and mental well-being.,Helps me relax and recharge; might help our organisation by promoting work-life balance and mental health.,"Feeling: relaxed, happy, balanced","Leading to: better work-life balance, improved mental health, higher morale",Wellness,"stress management, mental health support, work-life balance","high stress levels, burnout, mental health, work-life balance"
PR109,Regular exercise,Regular Exercise,Incorporating physical activity,Regular exercise boosts my energy and improves my mood.,Promoting regular physical exercise to enhance overall health and well-being.,Helps me stay healthy and energized; could help our organisation by improving overall employee health and productivity.,"Feeling: energized, healthy, happy","Leading to: better employee health, reduced absenteeism, increased productivity",Wellness,"wellness programs, physical conditioning, health initiatives","chronic illness, chronic pain, fatigue, physical exertion"
PR110,Limit screen time,Screen Time Limitation,Reducing time spent on screens,Limiting screen time reduces my eye strain and fatigue.,Encouraging reduction of screen time to prevent eye strain and mental fatigue.,Helps me reduce eye strain and mental fatigue; might help our organisation by improving overall health and productivity.,"Feeling: comfortable, balanced, energized","Leading to: better employee health, improved work quality, reduced absenteeism",Wellness,"visual discomfort, ergonomic adjustments, screen time management","prolonged screen time, eye strain, fatigue, discomfort at work"
PR111,Healthy diet,Healthy Diet,Eating nutritious meals,Eating a healthy diet keeps me energized and focused.,Promoting a balanced and nutritious diet to improve energy levels and overall health.,Helps me stay focused and energized; could help our organisation by enhancing overall employee health and productivity.,"Feeling: healthy, energized, focused","Leading to: better employee health, increased productivity, reduced absenteeism",Wellness,"wellness programs, nutritional guidance, health initiatives","fatigue, chronic illness, chronic pain, discomfort at work"
